SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
12.35452857,-12.35283512,-46.70879388,387,0.69670796,10,16241.70745,33.70193183,0.45992228,17.36476411,0.872579299,5.3,6
12.66399007,-12.86443891,-48.29506619,318,0.81597835,10,15227.74273,37.70179205,0.38804698,17.4661166,0.902248872,5.5,6
5.041125329,-11.43448637,-47.43089573,485,11.348181,20,17042.90691,30.03346418,0.43353182,15.93764775,0.845367882,5.8,6
5.233760204,-12.74263668,-48.4033342,693,7.70937,20,16062.98827,31.15286573,0.5022527,15.44517127,0.853671213,5.5,6
5.434726725,-12.97676052,-48.06658427,551,6.4075828,20,15820.66389,29.3867748,0.4759767,17.22166327,0.840570965,5.4,6
5.897534137,-12.91183067,-46.95380711,702,4.242213,20,14999.26935,30.25221746,0.4374066,14.65671391,0.846990518,5.3,4
5.905775353,-13.03099259,-48.04158382,403,8.525784,20,15437.16137,31.24378506,0.4930006,17.2813825,0.854345621,5.5,3
5.988195003,-12.774325,-48.43321366,614,8.2807255,20,15751.01589,32.16801767,0.44542098,15.44517127,0.861201258,5.5,6
6.438960074,-11.90897819,-47.71437571,320,0.5410203,20,16141.37658,28.61327687,0.47505182,14.83903547,0.834833426,5.3,6
6.572651793,-12.51291164,-47.43500704,360,0.5796621,20,14788.66695,30.19752914,0.5214708,15.12671754,0.846584859,5.3,6
6.604199154,-11.83216349,-46.59912899,643,1.342802,20,15864.92416,29.5925396,0.5678547,14.99318615,0.842097257,5.5,6
6.637068506,-13.05180562,-46.98996949,510,0.74886334,20,15238.8487,30.14853752,0.51081055,15.12671754,0.846221456,5.5,6
6.663760989,-13.06525326,-46.97802014,498,1.0376548,20,15147.45483,30.12660523,0.47142732,16.83146563,0.84605877,5.5,6
6.824120047,-12.28079862,-47.48260982,355,0.39738593,20,14904.63061,32.02332149,0.4911232,15.88048934,0.860127952,5.5,6
6.92572761,-12.87938585,-48.04428664,680,3.5389893,20,15580.6791,31.06082333,0.45542234,14.65671391,0.852988475,5.5,6
6.955702389,-11.83693322,-47.76280309,301,1.0848209,20,16804.98154,29.45467946,0.5052512,14.65671391,0.841074658,5.4,6
7.18807094,-8.015334835,-48.03998441,210,0.19513346,20,20348.21887,31.5913977,0.3895332,17.29577124,0.856924091,5.1,6
7.250746724,-8.274029057,-47.01509429,278,3.221302,20,17758.32378,29.65919099,0.58621293,18.81871712,0.842591654,5.5,6
7.391400266,-12.45001886,-47.43727191,324,0.50393444,20,14953.54445,32.10820232,0.45083916,20.78314632,0.860757568,5.4,6
7.42126596,-12.22372595,-48.15927839,284,0.6875513,20,16823.13831,31.7458922,0.46665284,17.30995587,0.858070078,5.4,6
7.53210269,-12.46935165,-47.44246856,330,0.42502427,20,14987.21624,32.10820232,0.45083916,20.78314632,0.860757568,5.4,6
7.587736719,-11.3909788,-46.65901964,670,3.2888424,20,16583.94023,32.7029378,0.42029262,14.43357036,0.865169109,5.8,6
7.647630965,-12.72688954,-48.29892076,315,0.6861548,20,15447.43137,31.15799276,0.54177564,22.22447315,0.853709244,5.4,6
